Gene,p_value,log2FC,adj_p_value
STXBP2,1.4616825765462703e-18,1.795250409516255,3.0810050960716237e-17
MCEMP1,2.770939241288765e-05,1.0482225586348553,7.883013056754353e-05
FCER2,2.6485643379572956e-10,-2.47051525845593,1.5629748478621785e-09
CD209,9.571766240567957e-18,-3.011977248754908,1.7572519369620496e-16
CLEC4M,8.897328747838019e-11,-1.6249598954231268,5.626605927460631e-10
CLEC4GP1,3.0943968396025396e-19,-2.6380617321139948,7.436369663902701e-18
PRR36,2.3549707532184842e-15,2.472372785020201,2.8846106826454354e-14
TGFBR3L,1.7493886162509321e-15,2.3314469156132787,2.1888452081892237e-14
CTXN1,9.601620879369894e-24,3.0353623526958877,9.14268054428513e-22
AC010336.5,1.0426414765434713e-08,1.0016393602363713,4.910346093335916e-08
KANK3,2.2833211271341683e-20,-1.969773473724823,6.772005040648354e-19
ANGPTL4,3.4815567173880996e-17,-2.537900579223775,5.771264717715245e-16
MUC16,4.703200020596534e-05,-1.6366964766705125,0.00012892016905266928
AC008567.3,2.061759151971008e-09,-1.0535070074311177,1.0701256149342189e-08
RPS4XP22,7.593467172568808e-05,-1.0930435343693619,0.00020148169797805173
ZNF812P,3.990581752204206e-14,-2.2832353830085435,4.0661633920630103e-13
AC008759.2,6.001015967613497e-08,-1.144898882452853,2.5454415808869255e-07
ANGPTL6,1.2877861311247584e-13,1.3215202012146503,1.2181221760793981e-12
ICAM5,2.391496354592032e-07,-1.4217902600287795,9.283133435873591e-07
AC114271.1,3.687475472160714e-12,1.2542876617532541,2.844967325985229e-11
CDKN2D,9.796363490224477e-15,1.16675795337963,1.0912572671434171e-13
AP1M2,1.0345072575131316e-19,2.4915445338073887,2.6873064383437824e-18
AC011442.1,1.0078919885601502e-07,-1.3008160802961881,4.140227893137433e-07
SPC24,9.621142632227019e-26,3.09320759517807,3.253492464758626e-23
KANK2,2.0751970231490386e-13,-1.1764338956193097,1.899513815760914e-12
AC011472.1,4.1322049034768e-15,-1.2937028827113815,4.8754868696037487e-14
ANGPTL8,8.131787646307564e-19,-3.5921531451104,1.809435141438001e-17
AC011472.2,2.2843387084771142e-10,1.1760748278954845,1.3624731377143658e-09
CCDC151,1.789504871395697e-10,1.620052699936796,1.0830457303174979e-09
CNN1,1.3741393554896206e-20,-3.301232815787831,4.2519733619128994e-19
ACP5,1.2371504196675211e-08,1.1121054620286213,5.760491147588849e-08
AC020951.1,5.973735558562963e-06,-1.3314764861166957,1.890293763430643e-05
RNASEH2A,2.83256735200871e-07,1.0541187766027011,1.0871570317184625e-06
RTBDN,9.198644405021803e-17,2.6377050615301663,1.428996957324839e-15
MAST1,3.3068721448220083e-07,1.3376433839309039,1.2577272104136247e-06
KLF1,5.188188572505721e-15,1.7199839248306525,6.033081178848072e-14
GADD45GIP1,1.2049545835349511e-14,1.0778776629336644,1.3262554459983358e-13
NFIX,5.050342910225877e-15,-1.4526438829639012,5.890874264918228e-14
AC138474.1,4.0521579091175375e-13,-1.7332885529000088,3.558345204032405e-12
AC007787.2,2.014513786159644e-08,-1.2990128182663887,9.089551481654796e-08
NACC1,5.366362692335157e-23,1.3994658271649616,3.8861495336424806e-21
AC020916.1,3.291047568210415e-17,-1.8616254405903074,5.479175878897397e-16
EEF1DP1,6.67780944706098e-09,1.0700159073519506,3.2173432769111764e-08
MISP3,9.516184834890124e-16,1.6359468713739602,1.239821067893459e-14
SAMD1,1.1530991114570905e-21,1.1799081251665644,4.5604331200256086e-20
ASF1B,1.3885949519841488e-25,3.169754540749431,4.173940096146639e-23
LINC01842,7.889942909545136e-07,1.723032468430037,2.8343327113356015e-06
DDX39A,2.2950286210953145e-25,1.5211010711156998,5.608282309736937e-23
GIPC1,5.8677063876324025e-19,1.056601525011116,1.3436125255452819e-17
ADGRE3,5.063690889018975e-08,-1.2415002897811271,2.170710002611258e-07
OR7C1,5.232124584855936e-15,-2.055400959309063,6.082304681609383e-14
OR7A5,1.2610723212263578e-09,-1.7854649927413706,6.738410425243662e-09
CASP14,2.508055124980889e-05,2.862621747784193,7.192948644822519e-05
CYP4F22,0.0007713891685253664,-1.562084095464825,0.0017217038934957704
CYP4F23P,1.4391600566963744e-08,1.9955167416561874,6.639876719127603e-08
CYP4F12,5.604440265046166e-10,-2.269542380614478,3.1511664281228993e-09
CYP4F24P,3.8207003116634367e-10,-2.4959081284346345,2.199501498767913e-09
HSH2D,6.8123790708531285e-15,2.3414394887125223,7.776069690048394e-14
CIB3,7.648410877785183e-17,2.6349090353865052,1.2029730630616113e-15
KLF2,6.435526025561446e-13,-1.3734017170787567,5.477283431283465e-12
AC008764.2,3.571833897531712e-17,-1.7316629834197004,5.91257154873759e-16
AC024075.3,1.1009554401393868e-16,-1.5241259263194396,1.68679556390935e-15
AC024075.1,5.2812899589619597e-17,-1.8524012444128548,8.504403737488319e-16
NWD1,7.362926035582071e-06,-1.446234230021103,2.3006638121577046e-05
AC008737.1,3.4293290775392363e-09,-1.2734643704787176,1.7259766040753017e-08
CPAMD8,2.075042055762848e-13,-2.1208176082378234,1.899513815760914e-12
NR2F6,1.714166966662448e-21,1.3706472860442247,6.524860270891815e-20
USHBP1,3.854999843450611e-23,-1.9959141671416267,2.9026692658220367e-21
AC010319.5,4.26987827675846e-17,-2.448837396783015,6.985631527168463e-16
NXNL1,2.6580298395390487e-16,-1.8673435986106457,3.83067816372534e-15
UNC13A,8.974351756932971e-10,1.4211928841652797,4.88916280843037e-09
B3GNT3,0.0003393836752384116,-1.3664547050207245,0.0008076035006270169
RAB3A,4.640942584985776e-13,1.1655469205401214,4.045363854171491e-12
IQCN,2.481901177840155e-15,-1.9014390059931854,3.03030115079667e-14
LSM4,6.436985204690037e-25,1.4305578785226754,1.1893276214913669e-22
GDF15,1.1818629085878542e-09,1.81941282397655,6.341270897249315e-09
ISYNA1,5.552271068075828e-10,1.0556928279700166,3.124616856349241e-09
COMP,5.024744162550293e-22,4.505719401496121,2.6105234624475967e-20
COPE,9.839046062477526e-22,1.1985737681011148,3.9558814285591704e-20
HOMER3,6.44383408758816e-16,1.0333161605538308,8.623808206124168e-15
CILP2,1.1325643357559747e-21,2.964879123923497,4.5104880812220594e-20
LPAR2,2.09017660808464e-15,1.3718265358880402,2.5794509239034752e-14
AC011477.6,1.735275991154526e-14,-1.5387826675759015,1.861808580424547e-13
AC011477.3,6.610514069575515e-10,-1.0936965435149983,3.6748364871730966e-09
AC011447.6,6.897426957738377e-07,1.0131840358311703,2.4972101003477996e-06
AC011447.7,8.318309317869168e-15,1.508201732685774,9.370840187536492e-14
ZNF826P,0.0002256427205343779,-1.0249210610614838,0.0005534828959115106
AC010329.1,1.365171106098624e-06,-1.121458010018105,4.74048688662137e-06
RPL7AP10,1.3051439127742011e-07,-1.0833030373821582,5.264219441151235e-07
AC123912.4,2.412073040445537e-12,-2.191583043048183,1.9000593663443065e-11
AC123912.3,3.967906378640699e-09,-1.2316114917420722,1.9786765791262387e-08
MTDHP3,8.749758067394091e-11,-1.451379078337458,5.540684451504494e-10
ZNF208,6.380027294139009e-09,-1.644282489612098,3.082893005080643e-08
VN1R85P,6.896190721290619e-11,-1.659056996247037,4.4754339852323666e-10
ZNF676,6.682359105630979e-16,-2.664191986523055,8.920961183174752e-15
BNIP3P30,6.390010487272575e-11,-1.590648677615637,4.1626291227203555e-10
ZNF98,0.016566838769386225,-1.0740154114857532,0.028550299380136635
ZNF209P,0.00011570675462069078,-1.670294564571178,0.00029766863364380134
LINC01785,4.362048308891237e-11,-1.2191603179980055,2.911454628091661e-10
ZNF99,2.3622731909248105e-07,-1.4113222258482288,9.175339435246258e-07
ZNF728,5.424013036249163e-20,-2.973976463555711,1.4962058975593648e-18
ZNF730,5.496991960088364e-05,1.0593504498897728,0.00014900735291753986
LINC01224,1.4512348421473215e-05,1.908247646106989,4.321754081733578e-05
ZNF725P,7.866394111384877e-05,1.2802138202813285,0.0002081110719297226
ZNF681,7.128248363682801e-10,1.018957667822015,3.9403543706582564e-09
ZNF726,5.668876904331455e-09,1.2320021668691963,2.7593245582142335e-08
AC011503.1,2.1132527981084203e-11,-2.52633253680325,1.472357183141249e-10
AC011503.2,1.15274835518183e-11,1.2612258138233337,8.33508804966717e-11
