"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"6740","LRRC2",-3.64755911113694,6.22252344042864,-17.0544288079534,2.09608314177977e-38,7.91732524313055e-36,76.7612016357983
"14957","CAV1",-3.40918571180547,13.4124140305541,-17.0429943917555,2.25109740570928e-38,8.41865853549018e-36,76.6904456226643
"17194","AQP7",-5.9483682547693,8.6455370016704,-17.0212801011393,2.57782263224704e-38,9.49230828480672e-36,76.5560407910567
"17808","PGAP4",-2.57868231877845,7.85872973454409,-17.0206213088609,2.58844581524699e-38,9.49230828480672e-36,76.5519623093942
"30777","ABCA8",-5.05656475991678,9.71372336751137,-17.013436836354,2.70718586945251e-38,9.83229083278464e-36,76.507481448769
"5858","LINC01614",5.09306263917242,4.69003610969533,17.0042802282845,2.86646954110314e-38,1.0311646429195e-35,76.4507829194812
"2362","IQGAP3",3.57529210622726,8.75872195206925,16.9846533939494,3.24026293833399e-38,1.1546340727052e-35,76.3292228461387
"484","LDLRAD2",-3.05898248941331,5.90786964625056,-16.9781582552209,3.37442995403479e-38,1.19010109305588e-35,76.2889860933242
"31307","APCDD1",-2.71375811507705,10.9261043347581,-16.9768175923707,3.40280943688538e-38,1.19010109305588e-35,76.2806802799461
"21299","AP001528.2",-3.59700576939973,8.38577751558208,-16.9717407388293,3.51246346743368e-38,1.21718137698995e-35,76.2492259651682
"15781","AC107959.1",-2.17470174770942,6.9845615920094,-16.9653419698894,3.65573023170745e-38,1.25531129374594e-35,76.2095777971721
"14956","CAV2",-2.98422671854067,11.7915515698109,-16.9400330687334,4.2821751008304e-38,1.45717403521231e-35,76.0527173819164
"23768","TMEM132C",-6.23599612421389,7.72031655697034,-16.9010804603304,5.46309995985972e-38,1.84243046146269e-35,75.8111681780638
"7574","COL6A6",-4.58489647485209,7.99003381516092,-16.8647233304071,6.85843710752377e-38,2.29253881792379e-35,75.5855751300186
"17562","NTRK2",-3.98625212121254,12.5063005093695,-16.8614366108326,7.00097168070012e-38,2.31965528353864e-35,75.5651747242332
"18987","CDK1",2.95176830124099,9.42767656515651,16.8585009070251,7.13079299186763e-38,2.34212445990282e-35,75.5469521249412
"15096","MESTIT1",-3.17440826765343,4.20745493086772,-16.8535348071098,7.35591972713209e-38,2.39523965459684e-35,75.5161244066755
"36771","LINC01186",-3.56736643045324,3.3424802656143,-16.8512781542043,7.46056127722534e-38,2.40854974840475e-35,75.5021151166104
"5640","TMEFF2",-2.86794680093892,2.40885418018744,-16.8464508362341,7.68944320224324e-38,2.46140380199264e-35,75.4721454302215
"33919","UBE2S",2.3876629370244,8.95890653137302,16.8240918345926,8.84488936904304e-38,2.79393758258681e-35,75.3333023509557
"27545","TEDC2",2.7554957012159,7.06305709825836,16.823527216545,8.8762180956904e-38,2.79393758258681e-35,75.3297955830256
"37180","TNMD",-5.16842343729815,6.23103546810263,-16.8210296856697,9.01613738269119e-38,2.81452513404142e-35,75.3142833661436
"4041","VIT",-3.99641721877067,8.3159316470014,-16.8050529919858,9.96503403003027e-38,3.08523988018281e-35,75.2150370038688
"7801","IGSF10",-4.66257564258087,8.67606405593514,-16.7959745600643,1.05481895352942e-37,3.2392375213588e-35,75.1586308958902
"32505","ASF1B",3.12489724139191,8.75343921484172,16.7931660060475,1.07354363138039e-37,3.24462315605946e-35,75.1411791219681
"36547","AC004554.1",-2.87630514994319,3.25143623234107,-16.7931349156954,1.07375276529554e-37,3.24462315605946e-35,75.1409859285407
"11243","MIR145",-3.97960015204606,4.34031954536489,-16.768767700922,1.25088972500933e-37,3.74988942008352e-35,74.9895399941079
"16600","LINC02237",-4.37276228224106,2.96311227384873,-16.7526300079654,1.38404825718722e-37,4.11639927326581e-35,74.8892092514424
"7065","ADAMTS9-AS1",-3.60959604729086,5.89980519950948,-16.7426418575554,1.47349227360093e-37,4.34818360612923e-35,74.8270982878931
"12573","CAPN11",-2.85461681176221,7.15214454540381,-16.7380757878454,1.51628966446668e-37,4.40778200717325e-35,74.7987010480207
"21984","CDCA3",3.02192469617196,7.80181167586851,16.7379981964513,1.51702758904088e-37,4.40778200717325e-35,74.7982184748027
"17459","TMEM252",-3.54407875655147,3.49849973813133,-16.7218563822239,1.67864152366284e-37,4.84012577341929e-35,74.6978128438583
