"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","42/2162","99/9373",0.424242424242424,1.83923415468281,4.59635367318581,1.35967197771757e-05,0.000175246610461376,0.000127220769844919,"1756/3679/8082/3479/137868/3680/859/3908/4842/784/7170/781/6445/1674/8910/1906/3672/3655/3569/6443/6442/6645/7273/785/3688/284217/7137/489/27091/6547/4634/55799/6444/4633/1837/27092/3696/786/6262/7139/776/59285",42
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","32/2162","69/9373",0.463768115942029,2.0105913740632,4.61329809918684,1.64040840677219e-05,0.000199054306484883,0.000144504033745831,"4881/154/117/358/2770/5137/22802/111/1908/5140/5734/3759/1906/5136/153/23236/5153/2982/1907/3709/112/3708/5139/9635/185/3778/155/2977/5593/5732/810/776",32
"hsa04082",NA,NA,"hsa04082","Neuroactive ligand signaling","72/2162","199/9373",0.361809045226131,1.56856437599654,4.43887640009515,1.65878588737402e-05,0.000199054306484883,0.000144504033745831,"148/2904/2563/2774/6530/57030/154/2914/2564/2770/2791/64805/111/5179/196883/6869/2918/2893/8973/51764/3356/54331/5578/3352/9127/2557/6512/1812/1813/2565/153/23236/1139/2906/79627/9934/2890/150/114/2555/2897/109/2788/3360/6507/2892/2903/2917/6863/63910/53829/55970/112/151/6536/2568/2560/147/2785/94235/5031/1131/2558/2562/2901/2567/1128/8001/6870/6571/1141/2902",72
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","41/2162","97/9373",0.422680412371134,1.83246230580696,4.51249061580315,1.90858164245577e-05,0.00022139547052487,0.000160722664627855,"2904/117/5187/6263/2770/2791/111/196883/2893/51764/4842/54331/5578/2353/23236/8864/51655/2906/2890/2982/114/109/2788/2892/2903/8863/55970/112/6261/3708/8913/2785/94235/3763/2977/5593/6262/810/776/8912/2902",41
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","75/2162","212/9373",0.35377358490566,1.53372794233152,4.30390489465095,2.73285454210378e-05,0.000306784961500683,0.000222711405808118,"2277/2904/1956/51378/2770/22808/284/2246/111/4233/3479/83660/196883/5295/80310/2247/10411/64411/3815/5608/7010/1969/5587/9223/5578/2260/1268/2324/7094/5156/2252/4804/1813/9693/23236/10000/2255/2254/3082/1943/1435/3791/114/9170/109/54518/2903/23683/9732/1944/8822/112/1902/3688/2250/56034/5154/1945/5881/84612/5603/10235/51196/1946/2261/10451/5590/8823/1950/26281/5909/2264/810/2902/999",75
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","38/2162","91/9373",0.417582417582418,1.81036077705828,4.25328577223706,5.25315969489288e-05,0.000571281116819601,0.000414723133807333,"5138/2563/2564/2770/5137/2791/111/196883/50940/27115/51764/54331/2869/5578/5140/157/2557/1812/5136/2565/408/5153/8622/114/2555/109/2788/55970/112/5139/2568/2560/2785/94235/3763/2558/2562/2567",38
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","58/2162","157/9373",0.369426751592357,1.60158970521515,4.16222186072023,5.44738793134602e-05,0.000574451818214671,0.00041702491340448,"332/7048/353500/2246/79981/8322/654/650/10413/5499/3993/6934/7003/60485/7481/653/5521/29119/894/27113/5519/1740/83439/26524/8200/2535/8324/51176/126374/4609/7855/286204/23418/25937/2736/154796/658/1741/84612/7480/6591/122786/5522/8313/268/7477/8326/174/151449/5590/85409/7484/6932/5054/7475/166824/999/374",58
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","21/2162","41/9373",0.51219512195122,2.2205387965073,4.28847012436344,7.78455285541341e-05,0.000796771880495255,0.000578418788018334,"2904/2563/57030/2564/2893/8973/2557/2565/1139/2906/2890/2555/2892/2903/2568/2560/2558/2562/2567/1141/2902",21
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","97/2162","300/9373",0.323333333333333,1.40175917360469,3.8725515796298,0.000120134683265686,0.0011944819936131,0.000867137563421491,"2277/4915/1956/51378/7048/22808/284/2246/4233/3479/80310/2247/3815/5321/9048/5608/3925/7010/1969/7186/51776/5578/1848/6196/2353/2260/1843/784/781/5602/2122/4208/2324/5156/2252/4804/1326/9693/10000/23542/408/2255/3725/4908/2254/3082/3554/3481/6197/1943/1435/3791/22800/5924/4609/3315/3164/1944/55970/8822/785/4909/3310/8913/2250/56034/4217/5154/1945/627/5881/5603/27091/10235/10912/1946/2065/5979/283748/84867/55799/8681/2261/255189/8823/27092/786/1950/26281/2064/2264/776/7039/8912/2069/374/59285",97
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","50/2162","134/9373",0.373134328358209,1.61766330235962,3.94310145674368,0.000130246896098089,0.00125905332894819,0.000914013305951499,"148/4881/4629/94274/4660/111/196883/4882/4638/5321/10398/3779/5499/1908/5578/59/72/85366/1906/10267/23236/10335/9475/552/79924/2982/133/114/109/1907/10242/5322/340156/3709/112/800/3708/185/3778/5320/147/283748/2977/8681/10203/255189/5588/157855/810/776",50
