"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5663","TNS1",-3.08618648700484,14.2325108718336,-17.3200168132095,3.93920036439432e-39,1.75083044488677e-36,78.419675978289
"463","LDLRAD2",-3.09806378713265,5.88832899739088,-17.3132201273574,4.10914401084894e-39,1.80435979059519e-36,78.3777892408143
"19455","LYVE1",-4.81628403456049,9.23724588850253,-17.2671427872619,5.47220971774186e-39,2.37428756396214e-36,78.0936937204265
"16852","PGM5",-3.33284563787979,9.44217563426895,-17.263931333738,5.58261158762692e-39,2.39369249320766e-36,78.073884726674
"7836","MASP1",-4.48749931865099,6.07684166926721,-17.259629751738,5.73399675659678e-39,2.430014485941e-36,78.0473498586012
"3908","VIT",-3.63028433726118,8.49899808775614,-17.233040802532,6.76552816522283e-39,2.83421194838748e-36,77.8832891180055
"21812","TROAP",3.59677082156052,7.37672938499007,17.225323355055,7.09840008279645e-39,2.93986692519999e-36,77.8356565040531
"281","ANGPTL7",-5.41703934656091,5.47035911964142,-17.2084411152292,7.88495513858513e-39,3.22893342675139e-36,77.7314363193189
"6742","FAM107A",-3.85001923199718,9.66454732118421,-17.2045053905772,8.08054663281486e-39,3.27226225088411e-36,77.7071353594961
"22092","HSD17B6",2.89721054731605,6.45170872844033,17.1847476329501,9.13845468470352e-39,3.66000131251324e-36,77.5851173885984
"35510","LINC01186",-3.61917987087796,3.31657354540195,-17.1071350961411,1.48229063667508e-38,5.87212658089782e-36,77.1054107517616
"25618","ALDH1A2",-3.85674285665592,8.02305318252285,-17.0757680434874,1.80262386631496e-38,7.06434725072205e-36,76.9113598948183
"14415","CAV2",-2.97330137822544,11.7970142399685,-17.0739870023299,1.82276706172673e-38,7.06729450337152e-36,76.9003385074532
"15224","AC107959.1",-2.15589125728524,6.99396683722149,-17.0558212116036,2.04156252798697e-38,7.83229346263296e-36,76.7879067656088
"33279","TPX2",3.32108566294403,9.96426086378577,17.0473054324532,2.15301222911106e-38,8.17382121897726e-36,76.7351891654779
"29713","ABCA9",-4.39909760781061,9.01126257279619,-17.0317854676386,2.37205543731054e-38,8.91257035754843e-36,76.6390923853276
"31382","ASF1B",3.13441585866597,8.75819852347875,17.0266988377933,2.44860205227592e-38,9.10630106094368e-36,76.6075915111059
"23797","NDRG2",-2.66904718992661,12.9656561021533,-17.0248764868115,2.47662436150407e-38,9.11747994741186e-36,76.5963052678935
"16873","MAMDC2",-3.75673610057053,9.14333599416852,-17.015117330293,2.63225482353066e-38,9.59351592983984e-36,76.5358587364778
"4902","LIMS2",-2.14611489546936,10.8399695435125,-17.0058721475557,2.78872458286059e-38,1.00631540739542e-35,76.4785866511788
"16953","NTRK2",-3.97358493552493,12.5126341022133,-17.0017031280497,2.86230149356771e-38,1.02273961014283e-35,76.4527575289467
"2283","IQGAP3",3.63561683604963,8.78888431698044,16.9990586226171,2.90997869146548e-38,1.02968042125389e-35,76.4363725963136
"16599","AQP7",-5.72054921664655,8.75944652073178,-16.9785936063233,3.30689858905714e-38,1.15887717285362e-35,76.3095504195089
"13462","HOXA7",-3.19199946278033,5.85875984484055,-16.9472035435585,4.0237609604828e-38,1.39666659015006e-35,76.1149423448279
"18935","AL133482.1",-3.39174764285036,6.9067590342026,-16.9362678643193,4.30852068478295e-38,1.48139947997735e-35,76.0471211496462
"8820","ADH1A",-4.42943192032188,3.67741300943654,-16.9071684732232,5.16860469177252e-38,1.76051370650786e-35,75.866592586125
"2866","PPP1R12B",-2.31933939325352,12.2970062079751,-16.8804143360337,6.11054822147126e-38,2.06208370814576e-35,75.70053798251
"29711","ABCA8",-4.86924547874685,9.80738300809633,-16.8764295989397,6.26486494845078e-38,2.09476392579116e-35,75.6757997731267
"4706","ECRG4",-5.03346211966037,8.0692227947191,-16.8640201424627,6.77092779530467e-38,2.24339304025158e-35,75.5987486172562
"1360","AC103591.2",-2.4608529808382,2.10153099097335,-16.848911900976,7.44270044102728e-38,2.44375369615928e-35,75.5049195935836
"33978","LINC01697",-4.9307182299575,5.18104364073358,-16.8310492301704,8.32368031329817e-38,2.7086147562363e-35,75.3939547275408
"12126","CAPN11",-2.84007369919139,7.15941610168921,-16.8080841129536,9.61166270948899e-38,3.10005893017731e-35,75.2512459180704
"5868","HJURP",3.56748966832201,7.56748172386105,16.8034043862657,9.89768925618328e-38,3.15232426570701e-35,75.2221588986921
"16017","LINC02237",-4.38053581785832,2.9592255060401,-16.8026162010296,9.94669622335252e-38,3.15232426570701e-35,75.2172596880918
"6442","CLEC3B",-3.65960919571456,8.95507628556803,-16.7958401940361,1.03781704052501e-37,3.26071378094609e-35,75.1751387494472
"26795","LINC02185",-2.89312128374841,5.99531764441662,-16.7923271823253,1.06092032269623e-37,3.30481214367409e-35,75.1532994020035
"6471","LRRC2",-3.51471104005348,6.28894747597037,-16.7857088753825,1.10585551485435e-37,3.41559407579505e-35,75.112152016057
"10826","ADRB2",-3.26374244637399,8.16602226769509,-16.7798543910256,1.14719268674722e-37,3.51349450934363e-35,75.075749835503
"13460","HOXA5",-2.96910720836329,8.26123607757842,-16.7741120983692,1.18924228566566e-37,3.61192702861422e-35,75.0400419288788
"1558","PALMD",-2.95907194026881,11.6114735269431,-16.7693863526744,1.22500459024173e-37,3.68979481784711e-35,75.0106528632434
"21425","GRIN2B",-4.48292879718226,5.05836938860545,-16.766411370546,1.24806888244618e-37,3.7086910548414e-35,74.9921505288944
"29729","KCNJ16",-5.30464110269679,5.54595193326948,-16.7659569766001,1.25162980778547e-37,3.7086910548414e-35,74.9893244349166
"35898","TNMD",-5.07557326341734,6.27746055504303,-16.7628311222473,1.27640361402763e-37,3.751597267488e-35,74.9698826908961
"3728","KLHL29",-3.02305361048428,9.04108593961445,-16.7571850591014,1.32240376404074e-37,3.8557062067383e-35,74.9347636516395
"26573","TEDC2",2.72211882527591,7.04636866028836,16.7488564825829,1.39331061745753e-37,4.03020625109976e-35,74.8829533543103
"8059","TACC3",2.27431156500662,10.1346112201586,16.7354239573986,1.51579064138544e-37,4.34996107999479e-35,74.7993779968001
"19010","PLPP4",4.7906931210569,5.56415992201943,16.7335539025282,1.53367735891478e-37,4.35319185229206e-35,74.7877413514878
"9843","AC027329.1",-2.44778505294859,1.95719632059139,-16.732814805081,1.54080488653261e-37,4.35319185229206e-35,74.7831421317807
"25717","PCLAF",3.29895582956518,6.55305831419546,16.7257902884601,1.6102259027456e-37,4.51433025011277e-35,74.7394276146486
"18331","CDK1",3.03346982666755,9.46852732786979,16.7203567756412,1.66606719878006e-37,4.63522787227009e-35,74.7056107849023
"2372","ATP1A2",-5.25369307520678,8.81425872115792,-16.7072408668454,1.80899351691196e-37,4.98051148823863e-35,74.6239686308692
"4586","ITPRIPL1",-3.0059995570738,7.70585752408624,-16.7064928744049,1.81750542703105e-37,4.98051148823863e-35,74.6193121163293
"17000","CKS2",2.64103538010697,9.35535426488885,16.6605486314733,2.42518613979494e-37,6.59614433216166e-35,74.333187667883
"8972","SYNPO2",-2.97202278476597,12.2403230198533,-16.6565893482758,2.48624780527899e-37,6.71213240823688e-35,74.3085209661789
"33953","JAM2",-2.33474398254015,10.6005457789399,-16.6499299649852,2.59244777607632e-37,6.91115470089485e-35,74.2670289316896
"35298","AC004554.1",-2.71760449706448,3.33078655878042,-16.6495959087724,2.5978933052258e-37,6.91115470089485e-35,74.2649474427843
"17347","GSN",-2.44268148441347,15.6194144572266,-16.6362723916039,2.82469281968563e-37,7.46005467436685e-35,74.1819203331968
"29728","LINC01028",-3.6402607839481,2.55911108394877,-16.6278835302303,2.97756983582503e-37,7.80723095226467e-35,74.1296352427845
"16856","TMEM252",-3.51301051693858,3.51403385793778,-16.6264857101449,3.00383781562829e-37,7.81984807345634e-35,74.1209224105693
"21214","CDCA3",3.0415144049264,7.81160653024573,16.6201816282878,3.12522118001271e-37,8.0357878767607e-35,74.0816257138033
"28620","NATD1",-1.93651100805876,10.5593493239512,-16.6198935670754,3.13088371426225e-37,8.0357878767607e-35,74.0798299825592
"14004","MAGI2-AS3",-2.56658755389727,10.0880713588689,-16.5667129199977,4.37388092093006e-37,1.1147584898197e-34,73.7481716618872
"36259","FGF13-AS1",-3.28325300176941,3.88458108405738,-16.5371786233347,5.26690459058696e-37,1.33303892158703e-34,73.5638645118868
"16892","ANXA1",-2.72390639867695,13.8738435225781,-16.534302355912,5.36309402154958e-37,1.3397233749653e-34,73.5459108381423
"19977","LRRN4CL",-3.82638113402458,7.98081973103824,-16.5341915852901,5.36683347267008e-37,1.3397233749653e-34,73.5452193915449
"19476","AC009806.1",-2.46094692773107,3.20486155491505,-16.5260748137161,5.64807747346597e-37,1.40033899046218e-34,73.494550097394
"33019","ADAM33",-3.66749159118377,8.85244548148002,-16.4983546267807,6.72478183175023e-37,1.65602296378357e-34,73.3214580392781
"13344","LINC02587",-4.33652058756655,5.34402542520753,-16.4720654107763,7.93547614600316e-37,1.94104942024987e-34,73.1572335153201
"5437","TMEFF2",-2.87535756407577,2.40514879861902,-16.461099705339,8.50295588591937e-37,2.06599153478812e-34,73.0887130617564
"4807","PGM5P4-AS1",-3.06015937956453,2.49555761458275,-16.4575441212706,8.69555600060941e-37,2.09879625164378e-34,73.0664931390948
"32457","SLC17A7",-3.08521160995013,6.62189071521692,-16.4531085391671,8.94196614107888e-37,2.14407169722211e-34,73.0387721599729
"25383","STARD9",-2.5077227480302,9.7698002302535,-16.4462653588489,9.33592584038125e-37,2.22390296195121e-34,72.9960007971914
"33665","TSHZ2",-3.01495004457315,10.7027449190479,-16.4404744856929,9.68286588417118e-37,2.29156967541885e-34,72.9598031168164
